"filename", "language", "YAML", "JSON", "Swift", "HTML", "XML", "C++", "Markdown", "Dart", "Gradle", "Java Properties", "Java", "comment", "blank", "total"
"c:\flutter\graduation project\takaful\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"c:\flutter\graduation project\takaful\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\flutter\graduation project\takaful\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 5, 10, 60
"c:\flutter\graduation project\takaful\android\app\google-services.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\flutter\graduation project\takaful\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 1, 9
"c:\flutter\graduation project\takaful\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 6, 1, 42
"c:\flutter\graduation project\takaful\android\app\src\main\java\com\example\takaful\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"c:\flutter\graduation project\takaful\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\flutter\graduation project\takaful\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\flutter\graduation project\takaful\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\flutter\graduation project\takaful\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\flutter\graduation project\takaful\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 1, 9
"c:\flutter\graduation project\takaful\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\flutter\graduation project\takaful\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\flutter\graduation project\takaful\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\flutter\graduation project\takaful\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\flutter\graduation project\takaful\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\flutter\graduation project\takaful\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\flutter\graduation project\takaful\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\flutter\graduation project\takaful\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\flutter\graduation project\takaful\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\flutter\graduation project\takaful\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\flutter\graduation project\takaful\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\flutter\graduation project\takaful\ios\firebase_app_id_file.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\flutter\graduation project\takaful\lib\bloc_observer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 7, 29
"c:\flutter\graduation project\takaful\lib\core\helper\show_snak_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\flutter\graduation project\takaful\lib\core\routes\app_routes.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"c:\flutter\graduation project\takaful\lib\core\utils\app_assets.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\flutter\graduation project\takaful\lib\core\utils\app_colors.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\flutter\graduation project\takaful\lib\core\utils\app_constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\flutter\graduation project\takaful\lib\core\utils\app_strings.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 1, 1, 61
"c:\flutter\graduation project\takaful\lib\core\widgets\circlr_logo.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 3, 3, 52
"c:\flutter\graduation project\takaful\lib\core\widgets\custom_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 3, 3, 73
"c:\flutter\graduation project\takaful\lib\core\widgets\custom_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 44
"c:\flutter\graduation project\takaful\lib\core\widgets\custom_search_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 2, 2, 51
"c:\flutter\graduation project\takaful\lib\core\widgets\custom_textfiled.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 1, 6, 61
"c:\flutter\graduation project\takaful\lib\core\widgets\logo_takaful.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 4, 64
"c:\flutter\graduation project\takaful\lib\core\widgets\type_of_donation_component.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\flutter\graduation project\takaful\lib\features\account_verification\data\account_ver_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 3, 16
"c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\cubit\account_verification\account_verification_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 4, 23
"c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\cubit\account_verification\account_verification_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\cubit\add_image_to_verification_account_cubit\add_image_to_verification_account_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 2, 7, 46
"c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\cubit\add_image_to_verification_account_cubit\add_image_to_verification_account_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 6, 21
"c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\view\account_verification_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 5, 91
"c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\view\widget\account_verification_text_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\view\widget\add_image_component.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 5, 70
"c:\flutter\graduation project\takaful\lib\features\account_verification\presentation\view\widget\image_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 2, 38
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\cubit\add_donation_cubit\add_donation_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 2, 3, 52
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\cubit\add_donation_cubit\add_donation_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 6, 14
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\cubit\add_images_cubit\add_images_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 1, 8, 72
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\cubit\add_images_cubit\add_images_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 8, 36
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\cubit\add_location\add_location_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 1, 6, 51
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\cubit\add_location\add_location_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 6, 26
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\add_details_donation.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 25, 15, 336
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\add_donation.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 3, 47
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\add_images_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 13, 7, 171
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\add_item_donation.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 6, 94
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\add_service_donation.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 6, 94
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\counter_post.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\type_of_item_or_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 2, 54
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_image\add_image_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 2, 38
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_image\add_images_component.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 48
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_image\alert_dialog_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_image\image_displayed.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_location\location_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 2, 41
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_location\location_loading.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_location\text_feiled.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 4, 53
"c:\flutter\graduation project\takaful\lib\features\add_donation\presentation\views\widgets\widgets_for_type_of_donations\type_of_donation_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 4, 33
"c:\flutter\graduation project\takaful\lib\features\auth\data\model\user_details_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 3, 40
"c:\flutter\graduation project\takaful\lib\features\auth\presentation\cubit\login_cubit\login_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 2, 5, 48
"c:\flutter\graduation project\takaful\lib\features\auth\presentation\cubit\login_cubit\login_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 8, 24
"c:\flutter\graduation project\takaful\lib\features\auth\presentation\cubit\register_cubit\register_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 1, 3, 58
"c:\flutter\graduation project\takaful\lib\features\auth\presentation\cubit\register_cubit\register_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 6, 16
"c:\flutter\graduation project\takaful\lib\features\auth\presentation\views\login_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 3, 6, 150
"c:\flutter\graduation project\takaful\lib\features\auth\presentation\views\login_reqister_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 5, 82
"c:\flutter\graduation project\takaful\lib\features\auth\presentation\views\register_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 6, 167
"c:\flutter\graduation project\takaful\lib\features\auth\presentation\views\widget\create_register_account_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 31
"c:\flutter\graduation project\takaful\lib\features\auth\presentation\views\widget\forget_password_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 2, 26
"c:\flutter\graduation project\takaful\lib\features\donation_request\data\model\request_donation.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\cubit\accept_request\accept_request_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 7, 40
"c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\cubit\accept_request\accept_request_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\cubit\get_request\get_request_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 4, 4, 46
"c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\cubit\get_request\get_request_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 6, 19
"c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\cubit\send_notification\send_notification_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 3, 3, 60
"c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\cubit\send_notification\send_notification_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\views\my_donation_requests_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 2, 8, 81
"c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\views\widget\accept_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\views\widget\my_donation_request_component.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 2, 4, 99
"c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\views\widget\my_donation_requests_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"c:\flutter\graduation project\takaful\lib\features\donation_request\presentation\views\widget\my_donation_requests_component.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 9, 8, 187
"c:\flutter\graduation project\takaful\lib\features\get_category\data\model\category_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\flutter\graduation project\takaful\lib\features\get_category\presentation\cubit\cubit\get_category_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\flutter\graduation project\takaful\lib\features\get_category\presentation\cubit\cubit\get_category_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 6, 19
"c:\flutter\graduation project\takaful\lib\features\get_category\presentation\views\items_type_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 7, 115
"c:\flutter\graduation project\takaful\lib\features\get_category\presentation\views\service_type_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 6, 110
"c:\flutter\graduation project\takaful\lib\features\get_category\presentation\views\widget\category_menu.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 2, 105
"c:\flutter\graduation project\takaful\lib\features\get_donation\data\model\donation_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 2, 53
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\cubit\get_donation_cubit\get_donation_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 1, 4, 114
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\cubit\get_donation_cubit\get_donation_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 6, 17
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\cubit\request_donation\request_donation_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 4, 34
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\cubit\request_donation\request_donation_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\donation_details_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 23, 11, 177
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\donations_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 1, 7, 97
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\filter_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\helper\custom_alert_Dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 1, 4, 82
